,#,الرقم الوزاري,اسم المدرسة,المرحلة,نوع التعليم,مكتب التعليم,الجنس,الحي,نوع البناء,الفترة,مستقلة/ملحقة,عدد الفصول ,حجم المدرسة,خط العرض,خط الطول,الموقع,CL,O&M,HVAC,All scope
0,1,34069,الطفولة المبكرة بالابتدائية الحادية والاربعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,غليل,حكومي,صباحي,مستقل,26,كبير,21.45221,39.20777,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
1,2,134518,الطفولة المبكرة بابتدائية البراء بن مالك,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,26,كبير,21.46172,39.24018,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
2,3,34114,الطفولة المبكرة بابتدائية السادسة والثمانون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,20,وسط,21.45385,39.25522,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
3,4,34052,الابتدائية الرابعة والعشرون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مستقل,26,كبير,21.47927,39.24313,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
4,5,34277,الابتدائية الثامنة والتسعون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,مستأجر,صباحي,مستقل,18,وسط,21.45769,39.24758,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
5,6,34080,الطفولة المبكرة بابتدائية الثانية والخمسون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,بترومين,حكومي,صباحي,مستقل,25,كبير,21.44454,39.20075,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
6,7,34229,الابتدائية السابعة والستون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الجوهرة,حكومي,صباحي,مستقل,17,وسط,21.43446,39.25017,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
7,8,34048,الابتدائية العشرون  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,18,وسط,21.45064,39.25221,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
8,9,34105,الابتدائية السابعة والسبعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مستقل,21,وسط,21.46920,39.26941,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
9,10,34097,الطفولة المبكرة بالابتدائية التاسعة والستون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مشترك اساسي,24,كبير,21.47288,39.22246,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
10,11,34068,الطفولة المبكرة بابتدائية الأربعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مشترك اساسي,20,وسط,21.32216,39.24419,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
11,12,34150,الابتدائية الرابعة والعشرون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,23,كبير,21.32242,39.25473,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
12,13,34207,ابتدائية تحفيظ القران الرابعة,المرحلة الإبتدائية,تحفيظ قران,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مشترك اساسي,6,صغير,21.47508,39.26693,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
13,14,34064,الطفولة المبكرة بالابتدائية السادسة والثلاثون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مشترك اساسي,23,كبير,21.47607,39.23013,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
14,15,34101,الطفولة المبكرة بالابتدائية الثالثة والسبعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مستقل,18,وسط,21.47796,39.21383,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
15,16,34171,الابتدائية الخامسة والعشرون بعد المائة  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,19,وسط,21.29745,39.25913,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
16,17,34111,الابتدائية الثالثة والثمانون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القوزين,مستأجر,صباحي,مشترك اساسي,13,وسط,21.26340,39.17557,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
17,18,M344115,الثانوية الرابعة نظام مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مشترك اساسي,16,وسط,21.47557,39.23752,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
18,19,M3934462,الثانوية الخامسة والاربعون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,حكومي,صباحي,مشترك اساسي,23,كبير,21.47615,39.26531,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
19,20,M344165,الثانوية التاسعة نظام  - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,غليل,حكومي,صباحي,مشترك اساسي,15,وسط,21.44988,39.20706,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
20,21,M3934426,الثانوية التاسعة عشر - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مشترك اساسي,17,وسط,21.47827,39.23653,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
21,22,M3935539,الثانوية الخامسة بعد المئة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,16,وسط,21.45408,39.25617,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
22,23,M134059,الثانوية الثالثة والسبعون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الجوهرة,حكومي,صباحي,مشترك اساسي,13,وسط,21.43489,39.25019,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
23,24,M134981,الثانوية الثانية بعد المائة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مشترك اساسي,17,وسط,21.29761,39.26026,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
24,25,M3934418,الثانوية الحادية عشرة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مشترك اساسي,15,وسط,21.47482,39.26497,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
25,26,34299,المتوسطة العشرون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مستقل,13,وسط,21.47883,39.23637,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
26,27,35221,المتوسطة الحادية عشر بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,15,وسط,21.32267,39.25479,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
27,28,35528,المتوسطة التاسعة عشرة بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,مدائن الفهد,حكومي,صباحي,مشترك اساسي,16,وسط,21.45446,39.25571,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
28,29,34294,المتوسطة الخامسة عشر,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مشترك اساسي,19,وسط,21.47374,39.22274,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
29,30,34302,المتوسطة الثالثة و العشرون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مستقل,16,وسط,21.46981,39.27084,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
30,31,34301,المتوسطة الثانية و العشرون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,النزلة الشرقية,حكومي,صباحي,مشترك اساسي,12,صغير,21.47832,39.21346,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
31,32,34392,المتوسطة التسعون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الجوهرة,حكومي,صباحي,مستقل,15,وسط,21.43491,39.25079,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
32,33,34283,المتوسطة الرابعة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الهنداوية,حكومي,صباحي,مشترك اساسي,15,وسط,21.47571,39.18492,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
33,34,34369,المتوسطة الخامسة و السبعون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الروابي,مستأجر,صباحي,مستقل,13,وسط,21.47512,39.26667,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
34,35,34287,المتوسطة الثامنة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مستقل,18,وسط,21.47502,39.23714,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
35,36,34289,المتوسطة العاشرة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,غليل,حكومي,صباحي,مستقل,16,وسط,21.45271,39.20688,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
36,37,35531,المتوسطة الثانية والعشرون بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مستقل,14,وسط,21.29711,39.26041,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
37,38,34003,الروضة الثالثة,رياض الأطفال,تعليم عام,مكتب التعليم بالجوهرة,بنات,الثغر,حكومي,صباحي,مستقل,4,صغير,21.47902,39.23714,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
38,39,35518,الروضة التاسعة والعشرون,رياض الأطفال,تعليم عام,مكتب التعليم بالجوهرة,بنات,الجوهرة,حكومي,صباحي,مستقل,9,صغير,21.43407,39.25052,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
39,40,134068,الروضة الثالثة والاربعون,رياض الأطفال,تعليم عام,مكتب التعليم بالجوهرة,بنات,القرينية,حكومي,صباحي,مشترك اساسي,8,صغير,21.29766,39.25941,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
40,41,27632,الطفولة المبكرة بابتدائية المقيطع بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مستقل,9,صغير,21.84821,39.47237,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
41,42,35092,الابتدائية السابعة بعد المئتين,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,الريان,مستأجر,صباحي,مشترك اساسي,18,وسط,21.70851,39.20475,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
42,43,27631,الطفولة المبكرة بابتدائية الشامية بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مستقل,14,وسط,21.84282,39.51773,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
43,44,35184,الابتدائية التاسعة بعد المئتين,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,بريمان,مستأجر,صباحي,مستقل,20,وسط,21.64213,39.23091,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
44,45,27635,الطفولة المبكرة بابتدائية الغولاء بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مستقل,10,صغير,21.94850,39.27621,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
45,46,34237,الابتدائية الثالثة والسبعون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,طيبة,حكومي,صباحي,مستقل,22,كبير,21.81895,39.14437,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
46,47,27596,ابتدائية عسفان  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مشترك اساسي,6,صغير,21.92996,39.37343,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
47,48,34033,الابتدائية الخامسة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,الفروسية,حكومي,صباحي,مشترك اساسي,30,كبير,21.83204,39.20707,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
48,49,27623,الطفولة المبكرة بابتدائية عسفان بعسفان,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مستقل,10,صغير,21.93003,39.373,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
49,50,B32223,الطفولة المبكرة بابتدائية الملك فيصل,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,طيبة,حكومي,صباحي,مشترك اساسي,22,كبير,21.76938,39.13176,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
50,51,134606,الطفولة المبكرة بإبتدائية الرياض الأولى,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالحمدانية,بنات,الرياض,حكومي,صباحي,مشترك اساسي,12,صغير,39.183882,21.866711,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
51,52,M353565,الثانوية الثامنة والتسعون نظام- مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالحمدانية,بنات,طيبة,مستأجر,صباحي,مشترك اساسي,18,وسط,21.81880,39.14377,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
52,53,M3934476,الثانوية السابعة والخمسون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالحمدانية,بنات,بريمان,مستأجر,صباحي,مشترك اساسي,12,صغير,21.64696,39.22223,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
53,54,M3934481,الثانوية الثانية والستون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالحمدانية,بنات,طيبة,حكومي,صباحي,مشترك اساسي,20,وسط,21.80524,39.15149,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
54,55,M3927961,ثانوية عسفان بعسفان - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مشترك اساسي,6,صغير,21.90976,39.35455,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
55,56,M3935104,الثانوية الحادية والسبعون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالحمدانية,بنات,بريمان,مستأجر,صباحي,مشترك اساسي,15,وسط,21.64186,39.23099,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
56,57,35222,المتوسطة الثانية عشر بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,طيبة,حكومي,صباحي,مستقل,17,وسط,21.81855,39.14404,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
57,58,34295,المتوسطة السادسة عشر,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,طيبة,حكومي,صباحي,مشترك اساسي,16,وسط,21.80475,39.15164,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
58,59,34350,المتوسطة الثامنة و الخمسون,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,الصالحية,حكومي,صباحي,مشترك اساسي,16,وسط,39.234308,21.7748,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
59,60,27825,متوسطة الشامية بعسفان,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مستقل,6,صغير,21.84315,39.51733,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
60,61,27871,متوسطة الغولاء بعسفان,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مستقل,3,صغير,21.94915,39.27592,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
61,62,35095,المتوسطة الثانية بعد المئة,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,بريمان,مستأجر,صباحي,مستقل,15,وسط,21.64228,39.23126,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
62,63,134137,متوسطة سلاف الانصارية,المرحلة المتوسطة,تعليم عام,مكتب التعليم بالحمدانية,بنات,الريان,مستأجر,صباحي,مشترك اساسي,9,صغير,21.70830,39.20482,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
63,64,28403,روضة عسفان الأولى بعسفان,رياض الأطفال,تعليم عام,مكتب التعليم بالحمدانية,بنات,عسفان,حكومي,صباحي,مشترك اساسي,3,صغير,21.93032,39.37354,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
64,65,34020,الروضة السادسة عشر,رياض الأطفال,تعليم عام,مكتب التعليم بالحمدانية,بنات,الكوثر,مستأجر,صباحي,مشترك اساسي,6,صغير,24.76157,46.72576,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
65,66,34258,الطفولة المبكرة بابتدائية تحفيظ القران الثانية عشر,المرحلة الإبتدائية,تحفيظ قران,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مستقل,14,وسط,21.57932,39.14956,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
66,67,34030,الابتدائية الثانية  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الفيصلية,حكومي,صباحي,مشترك اساسي,25,كبير,21.577482,39.1484393,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
67,68,34126,الابتدائية الثامنة والتسعون  - صفوف عليا,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,النزهة,حكومي,صباحي,مستقل,17,وسط,21.61859,39.17495,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
68,69,35233,مركز التوحد الابتدائي,المرحلة الإبتدائية,تربية خاصة,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مستقل,28,كبير,21.57758,39.14931,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
69,70,34172,الطفولة المبكرة بابتدائية السادسة والعشرون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مستقل,20,وسط,21.59767,39.18799,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
70,71,34115,الطفولة المبكرة بابتدائية السابعة والثمانون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الروضة,حكومي,صباحي,مستقل,16,وسط,21.55215,39.15717,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
71,72,134366,الطفولة المبكرة بإبتدائية النموذجية الرابعة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,النزهة,حكومي,صباحي,مشترك اساسي,26,كبير,21.61740,39.1643,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
72,73,34499,معهد الأمل/1 الابتدائي,المرحلة الإبتدائية,معهد,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مشترك اساسي,27,كبير,21.60530,39.14956,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
73,74,134425,الطفولة المبكرة بابتدائية بمجمع السلامة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مشترك اساسي,25,كبير,21.60287,39.15284,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
74,75,34143,الطفولة المبكرة بابتدائية السادسة عشر بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,النزهة,حكومي,صباحي,مشترك اساسي,15,وسط,21.62209,39.17319,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
75,76,34107,الابتدائية التاسعة والسبعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مستقل,18,وسط,21.58863,39.17839,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
76,77,34497,معهد التربية الفكرية/1 الابتدائي,المرحلة الإبتدائية,معهد,مكتب التعليم بالسلامة,بنات,الفيصلية,حكومي,صباحي,مشترك اساسي,26,كبير,21.57390,39.19294,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
77,78,34230,الطفولة المبكرة بابتدائية السبعون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,البوادي,حكومي,صباحي,مستقل,21,وسط,21.59824,39.17129,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
78,79,34208,ابتدائية تحفيظ القران الثالثة,المرحلة الإبتدائية,تحفيظ قران,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مستقل,21,وسط,21.59808,39.1875,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
79,80,34201,الابتدائية الخامسة والاربعون بعد المئة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الروضة,حكومي,صباحي,مستقل,14,وسط,21.56159,39.14566,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
80,81,34061,الطفولة المبكرة بابتدائية الثالثة والثلاثون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الزهراء,حكومي,صباحي,مستقل,28,كبير,21.58919,39.13556,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
81,82,134371,الطفولة المبكرة  بإبتدائية المنصورية,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الفيصلية,حكومي,صباحي,مشترك اساسي,22,كبير,21.57207,39.18787,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
82,83,34145,الابتدائية الثامنة عشر بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مستقل,20,وسط,21.60616,39.18798,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
83,84,34086,الطفولة المبكرة بابتدائية الثامنة والخمسون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الروضة,حكومي,صباحي,مستقل,22,كبير,21.56459,39.16611,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
84,85,34050,ابتدائية الموهوبات,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مستقل,18,وسط,21.45059,39.20569,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
85,86,34037,الابتدائية التاسعة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مستقل,18,وسط,21.59891,39.18398,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
86,87,134467,الطفولة المبكرة بابتدائية النموذجية / 7,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مشترك اساسي,19,وسط,21.58172,39.15343,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
87,88,34120,الطفولة المبكرة بابتدائية الثانية والتسعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الفيصلية,حكومي,صباحي,مستقل,20,وسط,21.57541,39.18786,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
88,89,34212,الابتدائية الثالثة والخمسون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,مستأجر,صباحي,مستقل,17,وسط,21.58568,39.19397,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
89,90,134370,الطفولة المبكرة بإبتدائية الخالدية,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الروضة,حكومي,صباحي,مشترك اساسي,28,كبير,21.56371,39.14784,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
90,91,34073,الطفولة المبكرة بابتدائية الخامسة والاربعون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مستقل,24,كبير,21.58202,39.15636,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
91,92,34116,الطفولة المبكرة بابتدائية الثامنة والثمانون,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مشترك اساسي,18,وسط,21.57797,39.1454,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
92,93,34228,الطفولة المبكرة بابتدائية الثانية والخمسون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مستقل,20,وسط,21.61483,39.17471,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
93,94,34225,الابتدائية الخامسة والستون بعد المائة,المرحلة الإبتدائية,تعليم عام,مكتب التعليم بالسلامة,بنات,النزهة,مستأجر,صباحي,مشترك اساسي,12,صغير,21.62606,39.16876,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
94,95,M3934470,الثانوية الثانية والخمسون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,الربوة,حكومي,صباحي,مشترك اساسي,26,كبير,21.58659,39.19188,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
95,96,M3935108,الثانوية الخامسة والسبعون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,الفيصلية,حكومي,صباحي,مشترك اساسي,19,وسط,21.57827,39.18794,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
96,97,M3934424,الثانوية السابعة عشرة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,البوادي,حكومي,صباحي,مشترك اساسي,19,وسط,21.59148,39.16617,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
97,98,M134987,الثانوية السادسة والثلاثون - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,النزهة,حكومي,صباحي,مشترك اساسي,14,وسط,21.61981,39.17436,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
98,99,35229,الثانوية الثامنة والثمانون,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,النزهة,حكومي,صباحي,مستقل,18,وسط,21.62271,39.17307,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
99,100,M344695,الثانوية الحادية والخمسون بجدة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,الزهراء,حكومي,صباحي,مشترك اساسي,15,وسط,21.58788,39.13577,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
100,101,M34433,الثانوية السابعة والعشرون بجدة - مسارات,المرحلة الثانوية,تعليم عام,مكتب التعليم بالسلامة,بنات,السلامة,حكومي,صباحي,مشترك اساسي,14,وسط,21.57794,39.15023,الانتقال للموقع,JO (1),JO(1),JO (2),JO (3)
